,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
2777,1173204.0,155616.0,512120.0,277.60243,31.419,0.002,-1.634,0,4,-0.424
2778,1258602.0,155738.0,522291.0,3703.63488,1414.703,0.034,0.098,4,10,0.168
2779,1177394.0,156155.0,423430.0,9887.77566,31614.169,0.097,0.021,1,2,0.075
2780,1039828.0,156383.0,524113.0,3600.64488,3689.471,0.017,0.351,4,9,0.232
2781,1494904.0,156384.0,524126.0,364.48552,640.363,0.03,0.011,1,8,0.033
2782,1515156.0,156578.0,333249.0,124.73404,100.294,-0.068,-0.183,4,7,0.0
2783,1223389.0,156614.0,443142.0,459.72498,1385.209,0.033,-0.016,2,3,-0.015
2784,1008848.0,156617.0,325414.0,31.65316,129.071,-0.05,0.297,1,6,-0.69
2785,1261654.0,156633.0,611210.0,221.95108,335.083,-0.012,0.027,1,2,0.128
2786,1206264.0,156861.0,337910.0,8813.422,4930.8,0.182,0.071,3,7,1.214
2787,1265131.0,156953.0,522110.0,2774.8301,1940.248,0.035,0.165,3,9,0.063
2788,1267238.0,157057.0,524126.0,8689.81844,10187.6,0.018,0.054,5,13,0.065
2789,1227654.0,157153.0,212390.0,2193.0776,836.6,0.131,0.07,1,8,-0.111
2790,1257640.0,157354.0,325130.0,1733.39983,1939.4,0.089,0.04,2,7,0.173
2791,1692819.0,157373.0,2211.0,10680.79221,12077.0,0.149,0.076,2,8,-0.049
2792,1423869.0,157498.0,522110.0,326.45736,99.906,0.017,0.156,4,6,0.144
2793,1224133.0,157755.0,541890.0,104.28896,53.476,-0.131,-0.547,1,4,-0.131
2794,1108524.0,157855.0,511210.0,207289.64,21252.0,0.052,0.175,0,3,0.005
2795,1262104.0,157865.0,325412.0,320.95275,34.796,-0.227,-1.428,2,9,-0.94
2796,1213809.0,158055.0,325414.0,127.59508,2.404,-0.266,-5.39,1,7,-0.672
2797,1061983.0,158563.0,325412.0,3865.184,70.428,-0.329,-2.099,1,8,-1.566
2798,1176309.0,170450.0,325414.0,694.58592,2.703,-0.386,-5.365,4,6,
2799,1295401.0,158587.0,522110.0,1452.06001,326.864,0.027,0.211,4,9,0.18
2800,1059262.0,158737.0,812930.0,655.38128,1177.2,0.047,-0.13,3,6,0.215
2801,1278021.0,158742.0,523210.0,15594.94713,699.352,0.4,0.425,5,13,0.236
2802,1278027.0,158743.0,311421.0,2105.68106,2056.264,0.106,0.067,1,10,-0.033
2803,1117057.0,160196.0,311920.0,36.29364,37.768,-0.008,2.809,0,1,-0.194
2804,1753886.0,160207.0,812220.0,269.70348,322.842,-0.001,-0.31,2,7,
2805,1286681.0,160211.0,722511.0,20393.75754,4357.373,0.543,0.12,1,4,
2806,1126741.0,160213.0,334413.0,160.6938,27.729,-0.174,-0.62,2,8,-0.225
